ID,Kapacita,kp,dp_bez_rezervace,dp_rezervace,volno,volno_bez_prepoctu,datum_aktualizace
89330,90,47,14,24,29,29,"2023-06-20 15:25:26"
89329,90,52,14,24,24,24,"2023-06-20 14:55:23"
89328,90,62,14,26,14,14,"2023-06-20 14:25:21"
89327,90,70,14,26,6,6,"2023-06-20 13:55:18"
89326,90,70,15,27,5,5,"2023-06-20 13:25:15"
89325,90,73,15,26,2,2,"2023-06-20 12:55:13"
89324,90,69,14,27,7,7,"2023-06-20 12:25:10"
89323,90,68,14,26,8,8,"2023-06-20 11:55:07"
89322,90,61,14,25,15,15,"2023-06-20 11:25:05"
89321,90,59,13,25,18,18,"2023-06-20 10:55:01"
