ID,Kapacita,kp,dp_bez_rezervace,dp_rezervace,volno,volno_bez_prepoctu,datum_aktualizace
89338,265,110,0,0,155,155,"2023-06-19 18:00:01"
89337,265,119,0,0,146,146,"2023-06-19 17:30:01"
89336,265,133,0,0,132,132,"2023-06-19 17:00:01"
89335,265,137,0,0,128,128,"2023-06-19 16:30:01"
89334,265,143,0,0,122,122,"2023-06-19 16:00:01"
89333,265,149,0,0,116,116,"2023-06-19 15:30:01"
89332,265,162,0,0,103,103,"2023-06-19 15:00:01"
89331,265,158,0,0,107,107,"2023-06-19 14:30:01"
89330,265,164,0,0,101,101,"2023-06-19 14:00:01"
89329,265,164,0,0,101,101,"2023-06-19 13:30:01"
